category,product,month,year,price
export-prices,Mixed papers,January,2004,32 - 35
export-prices,Mixed papers,February,2004,32 - 38
export-prices,Mixed papers,March,2004,32 - 38
export-prices,Mixed papers,April,2004,35 - 38
export-prices,Mixed papers,May,2004,35 - 40
export-prices,Mixed papers,June,2004,35 - 40
export-prices,Mixed papers,July,2004,33 - 38
export-prices,Mixed papers,August,2004,34 - 37
export-prices,Mixed papers,September,2004,36 - 68
export-prices,Mixed papers,October,2004,36 - 68
export-prices,Mixed papers,November,2004,37 - 39
export-prices,Mixed papers,December,2004,37 - 39
export-prices,Old kls (cardboard),January,2004,43 - 50
export-prices,Old kls (cardboard),February,2004,45 - 50
export-prices,Old kls (cardboard),March,2004,50 - 55
export-prices,Old kls (cardboard),April,2004,50 - 55
export-prices,Old kls (cardboard),May,2004,53 - 55
export-prices,Old kls (cardboard),June,2004,53 - 55
export-prices,Old kls (cardboard),July,2004,53 - 55
export-prices,Old kls (cardboard),August,2004,50 - 53
export-prices,Old kls (cardboard),September,2004,50 - 52
export-prices,Old kls (cardboard),October,2004,50 - 52
export-prices,Old kls (cardboard),November,2004,49 - 53
export-prices,Old kls (cardboard),December,2004,50 - 53
export-prices,News and pams,January,2004,43 - 47
export-prices,News and pams,February,2004,43 - 50
export-prices,News and pams,March,2004,50 - 55
export-prices,News and pams,April,2004,50 - 55
export-prices,News and pams,May,2004,50 - 55
export-prices,News and pams,June,2004,48 - 53
export-prices,News and pams,July,2004,47 - 52
export-prices,News and pams,August,2004,46 - 50
export-prices,News and pams,September,2004,46 - 50
export-prices,News and pams,October,2004,46 - 55
export-prices,News and pams,November,2004,46 - 53
export-prices,News and pams,December,2004,47 - 53
export-prices,Coloured best pams,January,2004,65 - 73
export-prices,Coloured best pams,February,2004,65 - 73
export-prices,Coloured best pams,March,2004,65 - 70
export-prices,Coloured best pams,April,2004,67 - 72
export-prices,Coloured best pams,May,2004,62 - 67
export-prices,Coloured best pams,June,2004,62 - 67
export-prices,Coloured best pams,July,2004,62 - 67
export-prices,Coloured best pams,August,2004,62 - 67
export-prices,Coloured best pams,September,2004,65 - 67
export-prices,Coloured best pams,October,2004,65 - 67
export-prices,Coloured best pams,November,2004,69 - 71
export-prices,Coloured best pams,December,2004,68 - 71
export-prices,Tear white shavings,January,2004,95 - 110
export-prices,Tear white shavings,February,2004,95 - 110
export-prices,Tear white shavings,March,2004,95 - 100
export-prices,Tear white shavings,April,2004,95 - 100
export-prices,Tear white shavings,May,2004,90 - 115
export-prices,Tear white shavings,June,2004,88 - 110
export-prices,Tear white shavings,July,2004,88 - 110
export-prices,Tear white shavings,August,2004,88 - 110
export-prices,Tear white shavings,September,2004,88 - 110
export-prices,Tear white shavings,October,2004,88 - 110
export-prices,Tear white shavings,November,2004,88 - 110
export-prices,Tear white shavings,December,2004,90 - 105
export-prices,White letter,January,2004,125 - 140
export-prices,White letter,February,2004,125 - 140
export-prices,White letter,March,2004,125 - 135
export-prices,White letter,April,2004,125 - 135
export-prices,White letter,May,2004,125 - 135
export-prices,White letter,June,2004,125 - 135
export-prices,White letter,July,2004,120 - 130
export-prices,White letter,August,2004,120 - 128
export-prices,White letter,September,2004,125 - 130
export-prices,White letter,October,2004,125 - 128
export-prices,White letter,November,2004,125 - 130
export-prices,White letter,December,2004,125 - 132
export-prices,Best white 2,January,2004,170 - 180
export-prices,Best white 2,February,2004,170 - 180
export-prices,Best white 2,March,2004,170 - 180
export-prices,Best white 2,April,2004,170 - 180
export-prices,Best white 2,May,2004,170 - 180
export-prices,Best white 2,June,2004,170 - 178
export-prices,Best white 2,July,2004,170 - 178
export-prices,Best white 2,August,2004,170 - 178
export-prices,Best white 2,September,2004,170 - 175
export-prices,Best white 2,October,2004,170 - 172
export-prices,Best white 2,November,2004,170 - 172
export-prices,Best white 2,December,2004,170 - 172
export-prices,Mixed papers,January,2005,37 - 39
